x,y,A,Theta,Phi,Pi,Psi_re,Psi_im
0,0,1.001487178945e+00,1.390543593605e-01,1.618333133314e+00,1.016556391634e+00,1.631670303709e+00,2.283646647821e-01
0,1,1.001590599632e+00,1.399737126748e-01,1.618329939551e+00,1.016158805561e+00,1.630986776549e+00,2.297980217116e-01
0,2,1.001714490901e+00,1.415813745717e-01,1.618319967883e+00,1.015035175146e+00,1.629003595764e+00,2.321900843589e-01
0,3,1.001846907182e+00,1.435913999974e-01,1.618303571736e+00,1.013232148174e+00,1.625839221434e+00,2.350743814039e-01
0,4,1.001987181789e+00,1.457988396050e-01,1.618281127243e+00,1.010854139638e+00,1.621706350815e+00,2.381326527602e-01
0,5,1.002135504131e+00,1.480984401163e-01,1.618253133094e+00,1.008036587313e+00,1.616847149707e+00,2.412186865889e-01
0,6,1.002292096351e+00,1.504478302017e-01,1.618220211205e+00,1.004937310673e+00,1.611525616201e+00,2.442965000013e-01
0,7,1.002457168097e+00,1.528327381112e-01,1.618183093976e+00,1.001726802045e+00,1.606019513876e+00,2.473814651310e-01
0,8,1.002630912315e+00,1.552487121392e-01,1.618142608486e+00,9.985778032025e-01,1.600607744880e+00,2.505081282160e-01
0,9,1.002813502861e+00,1.576940885818e-01,1.618099658496e+00,9.956550948608e-01,1.595555579917e+00,2.537162679335e-01
0,10,1.003005092229e+00,1.601678215795e-01,1.618055204645e+00,9.931061520553e-01,1.591100183567e+00,2.570448720832e-01
0,11,1.003205809282e+00,1.626689183497e-01,1.618010243222e+00,9.910531555718e-01,1.587437959211e+00,2.605288464483e-01
0,12,1.003415756997e+00,1.651963094775e-01,1.617965783987e+00,9.895867092911e-01,1.584714543773e+00,2.641966712236e-01
0,13,1.003635010204e+00,1.677488198575e-01,1.617922827490e+00,9.887614873828e-01,1.583017885719e+00,2.680685652257e-01
0,14,1.003863613370e+00,1.703251601053e-01,1.617882342419e+00,9.885939313686e-01,1.582374612006e+00,2.721551130901e-01
0,15,1.004101578420e+00,1.729239218126e-01,1.617845243493e+00,9.890620362699e-01,1.582749744294e+00,2.764563980233e-01
0,16,1.004348882631e+00,1.755435736309e-01,1.617812370429e+00,9.901072008385e-01,1.584049718517e+00,2.809616907457e-01
0,17,1.004605466607e+00,1.781824577253e-01,1.617784468494e+00,9.916380580751e-01,1.586128567461e+00,2.856497343899e-01
0,18,1.004871232371e+00,1.808387865724e-01,1.617762171144e+00,9.935361369498e-01,1.588797022191e+00,2.904896462798e-01
0,19,1.005146041577e+00,1.835106401449e-01,1.617745985178e+00,9.956631258070e-01,1.591834160597e+00,2.954424305059e-01
0,20,1.005429713875e+00,1.861959635325e-01,1.617736278816e+00,9.978694102109e-01,1.595001076462e+00,3.004630590653e-01
0,21,1.005722025447e+00,1.888925650563e-01,1.617733273003e+00,1.000003449094e+00,1.598055870000e+00,3.055030351020e-01
0,22,1.006022707737e+00,1.915981149280e-01,1.617737036181e+00,1.001921447253e+00,1.600769093533e+00,3.105133032922e-01
0,23,1.006331446389e+00,1.943101445107e-01,1.617747482664e+00,1.003496699492e+00,1.602938655521e+00,3.154473260732e-01
0,24,1.006647880418e+00,1.970260462344e-01,1.617764374673e+00,1.004627943525e+00,1.604403126940e+00,3.202641081700e-01
0,25,1.006971601633e+00,1.997430742168e-01,1.617787327959e+00,1.005246082777e+00,1.605052433842e+00,3.249309336252e-01
0,26,1.007302154322e+00,2.024583456415e-01,1.617815820874e+00,1.005318735167e+00,1.604835072600e+00,3.294255852275e-01
0,27,1.007639035227e+00,2.051688429364e-01,1.617849206640e+00,1.004852225994e+00,1.603761243672e+00,3.337378481868e-01
0,28,1.007981693806e+00,2.078714167912e-01,1.617886728495e+00,1.003890855493e+00,1.601901638922e+00,3.378701558749e-01
0,29,1.008329532816e+00,2.105627900028e-01,1.617927537313e+00,1.002513507318e+00,1.599381993263e+00,3.418373087434e-01
0,30,1.008681909202e+00,2.132395617414e-01,1.617970711255e+00,1.000827891247e+00,1.596373872950e+00,3.456652778432e-01
0,31,1.009038135325e+00,2.158982086122e-01,1.618015276946e+00,9.989629016271e-01,1.593082473196e+00,3.493891768699e-01
0,32,1.009397480511e+00,2.185350541934e-01,1.618060231670e+00,9.970597006369e-01,1.589732408768e+00,3.530505121085e-01
0,33,1.009759172946e+00,2.211460048886e-01,1.618104566056e+00,9.952621924489e-01,1.586552633696e+00,3.566935895580e-01
0,34,1.010122401930e+00,2.237247361832e-01,1.618147286718e+00,9.937075439529e-01,1.583762015760e+00,3.603592217525e-01
0,35,1.010486320667e+00,2.262515982998e-01,1.618187438362e+00,9.925173436633e-01,1.581559363698e+00,3.640637526821e-01
0,36,1.010850050540e+00,2.286328053806e-01,1.618224124864e+00,9.917898926191e-01,1.580133810309e+00,3.676997835608e-01
0,37,1.011212691696e+00,2.304051678567e-01,1.618256528903e+00,9.915940101704e-01,1.579765835705e+00,3.705669095805e-01
0,38,1.011573361131e+00,2.294897359704e-01,1.618283929722e+00,9.919646301743e-01,1.581285546381e+00,3.693965078346e-01
0,39,1.011931337304e+00,2.177447379583e-01,1.618305718697e+00,9.929003688401e-01,1.587593577345e+00,3.512591643094e-01
0,40,1.012286557470e+00,1.681574095809e-01,1.618321412410e+00,9.943631657300e-01,1.605993808131e+00,2.726343688769e-01
0,41,1.012641106425e+00,7.700723672607e-03,1.618330662978e+00,9.962800287116e-01,1.632643498231e+00,1.257278496359e-02
0,42,1.013003114489e+00,-4.142148038505e-01,1.618333265463e+00,9.985468422299e-01,1.498558043274e+00,-6.588431853998e-01
0,43,1.013393176626e+00,-1.301589542625e+00,1.618329162224e+00,1.001034115893e+00,4.366377339835e-01,-1.582569222246e+00
0,44,1.013823334691e+00,-2.738869487834e+00,1.618318444143e+00,1.003594450234e+00,-1.514854739940e+00,-6.453385254929e-01
0,45,1.014110496272e+00,-4.447182528666e+00,1.618301348696e+00,1.006071378482e+00,-4.327674470106e-01,1.593375248543e+00
0,46,1.014313367675e+00,-5.884614940917e+00,1.618278254901e+00,1.008309115599e+00,1.525349673957e+00,6.423385504878e-01
0,47,1.014629554338e+00,-6.772294455340e+00,1.618249675248e+00,1.010162625243e+00,1.464141087797e+00,-7.792808772641e-01
0,48,1.014928064482e+00,-7.194666750160e+00,1.618216244728e+00,1.011507323880e+00,1.017654724075e+00,-1.313089810361e+00
0,49,1.015202971826e+00,-7.355731719357e+00,1.618178707185e+00,1.012247702146e+00,7.946816057209e-01,-1.460725136098e+00
0,50,1.015459161935e+00,-7.406078212420e+00,1.618137899226e+00,1.012324174993e+00,7.203813168700e-01,-1.499320455312e+00
0,51,1.015699005910e+00,-7.418732462673e+00,1.618094732002e+00,1.011717582234e+00,7.010779665687e-01,-1.507728077682e+00
0,52,1.015922756004e+00,-7.420706280928e+00,1.618050171227e+00,1.010450943934e+00,6.973610098719e-01,-1.507510095247e+00
0,53,1.016129934103e+00,-7.420140325574e+00,1.618005215819e+00,1.008588310578e+00,6.970497736043e-01,-1.504601986444e+00
0,54,1.016319886903e+00,-7.419112272703e+00,1.617960875636e+00,1.006230805186e+00,6.970744803246e-01,-1.500608712442e+00
0,55,1.016491959298e+00,-7.418083877627e+00,1.617918148779e+00,1.003510197814e+00,6.968279963082e-01,-1.496049454904e+00
0,56,1.016645542075e+00,-7.417147331138e+00,1.617877998972e+00,1.000580549391e+00,6.962783096741e-01,-1.491218801019e+00
0,57,1.016780085357e+00,-7.416320527040e+00,1.617841333547e+00,9.976085885528e-01,6.955155168187e-01,-1.486378044843e+00
0,58,1.016895103839e+00,-7.415607873030e+00,1.617808982567e+00,9.947635327922e-01,6.946527503212e-01,-1.481782427828e+00
0,59,1.016990180120e+00,-7.415011385322e+00,1.617781679588e+00,9.922070391105e-01,6.938021509349e-01,-1.477673978076e+00
0,60,1.017064968279e+00,-7.414532502908e+00,1.617760044553e+00,9.900838864702e-01,6.930652673542e-01,-1.474268995091e+00
0,61,1.017119208340e+00,-7.414172352539e+00,1.617744569266e+00,9.885138760120e-01,6.925266274602e-01,-1.471746294211e+00
0,62,1.017152848593e+00,-7.413931780362e+00,1.617735605808e+00,9.875853091837e-01,6.922488660135e-01,-1.470237790406e+00
0,63,1.017166893267e+00,-7.413811352424e+00,1.617733358222e+00,9.873502876921e-01,6.922697348497e-01,-1.469822805062e+00
0,64,1.017166893267e+00,-7.413811352424e+00,1.617737877685e+00,9.878219835213e-01,6.926023940825e-01,-1.470529105081e+00
0,65,1.017152848593e+00,-7.413931780362e+00,1.617749061296e+00,9.889739538852e-01,6.932280037079e-01,-1.472317339122e+00
0,66,1.017119208340e+00,-7.414172352539e+00,1.617766654511e+00,9.907415185588e-01,6.940967303909e-01,-1.475083051353e+00
0,67,1.017064968279e+00,-7.414532502908e+00,1.617790257165e+00,9.930251639631e-01,6.951371628973e-01,-1.478676273170e+00
0,68,1.016990180120e+00,-7.415011385322e+00,1.617819332916e+00,9.956958766978e-01,6.962579302600e-01,-1.482904346993e+00
0,69,1.016895103839e+00,-7.415607873030e+00,1.617853221856e+00,9.986022286939e-01,6.973524165588e-01,-1.487541158345e+00
0,70,1.016780085357e+00,-7.416320527040e+00,1.617891155949e+00,1.001578932927e+00,6.983050765633e-01,-1.492339580221e+00
0,71,1.016645542075e+00,-7.417147331138e+00,1.617932276909e+00,1.004456467498e+00,6.989989113717e-01,-1.497045511897e+00
0,72,1.016491959298e+00,-7.418083877627e+00,1.617975656042e+00,1.007071240797e+00,6.993256068345e-01,-1.501411680426e+00
0,73,1.016319886903e+00,-7.419112272703e+00,1.618020315564e+00,1.009275662631e+00,6.992095161050e-01,-1.505204854439e+00
0,74,1.016129934103e+00,-7.420140325574e+00,1.618065250884e+00,1.010947419944e+00,6.987061118393e-01,-1.508177240168e+00
0,75,1.015922756004e+00,-7.420706280928e+00,1.618109453298e+00,1.011997253094e+00,6.984537815130e-01,-1.509872378566e+00
0,76,1.015699005910e+00,-7.418732462673e+00,1.618151932607e+00,1.012374602934e+00,7.015580540475e-01,-1.508760546831e+00
0,77,1.015459161935e+00,-7.406078212420e+00,1.618191739123e+00,1.012070650947e+00,7.202248693601e-01,-1.498994843103e+00
0,78,1.015202971826e+00,-7.355731719357e+00,1.618227984611e+00,1.011118490064e+00,7.938192722829e-01,-1.459140058352e+00
0,79,1.014928064482e+00,-7.194666750160e+00,1.618259861726e+00,1.009590415747e+00,1.015753543631e+00,-1.310636698701e+00
0,80,1.014629554338e+00,-6.772294455340e+00,1.618286661552e+00,1.007592580707e+00,1.460449415195e+00,-7.773160052394e-01
0,81,1.014313367675e+00,-5.884614940917e+00,1.618307788898e+00,1.005257477472e+00,1.520760971179e+00,6.404062062253e-01
0,82,1.014110496272e+00,-4.447182528666e+00,1.618322775076e+00,1.002734872902e+00,-4.313379406134e-01,1.588112052046e+00
0,83,1.013823334691e+00,-2.738869487834e+00,1.618331287916e+00,1.000181902339e+00,-1.509715722348e+00,-6.431492686964e-01
0,84,1.013393176626e+00,-1.301589542625e+00,1.618333138830e+00,9.977530372644e-01,4.352076406366e-01,-1.577385928317e+00
0,85,1.013003114489e+00,-4.142148038505e-01,1.618328286825e+00,9.955905812244e-01,1.494116871009e+00,-6.568906176665e-01
0,86,1.012641106425e+00,7.700723672607e-03,1.618316839370e+00,9.938162448746e-01,1.628592086806e+00,1.254158554699e-02
0,87,1.012286557470e+00,1.681574095809e-01,1.618299050115e+00,9.925242258061e-01,1.603001589310e+00,2.721264082074e-01
0,88,1.011931337304e+00,2.177447379583e-01,1.618275313496e+00,9.917760929529e-01,1.585766127076e+00,3.508548362350e-01
0,89,1.011573361131e+00,2.294897359704e-01,1.618246156334e+00,9.915976628933e-01,1.580663669656e+00,3.692512342054e-01
0,90,1.011212691696e+00,2.304051678567e-01,1.618212226547e+00,9.919779615941e-01,1.580334265592e+00,3.707002466244e-01
0,91,1.010850050540e+00,2.286328053806e-01,1.618174279221e+00,9.928702874615e-01,1.581806385410e+00,3.680889945874e-01
